MaterialDated,Age,SampleID,Depth,AgeType,ErrorOlder,GeochronType,Delta13C,LabNumber,ErrorYounger,Notes,Infinite,Thickness,,
organic lake sediment,245,109057,21.5,Radiocarbon years BP,55,Carbon-14,,WIS-993,55,Depths recorded in GEOCHRON are those from Maher 1982, rather than those reported in Radiocarbon by Bender et al, 1980. (jk/11Aug92),FALSE,7
gyttja,2055,109058,151.5,Radiocarbon years BP,65,Carbon-14,-25.4,WIS-994,65,,FALSE,5,,
gyttja,2430,109059,166.5,Radiocarbon years BP,65,Carbon-14,-23,WIS-995,65,,FALSE,5,,
gyttja,4105,109060,265,Radiocarbon years BP,65,Carbon-14,-24.8,WIS-996,65,,FALSE,4,,
gyttja,5245,109061,336,Radiocarbon years BP,65,Carbon-14,-27.5,WIS-997,65,,FALSE,4,,
gyttja,6920,109062,397,Radiocarbon years BP,75,Carbon-14,-28,WIS-998,75,,FALSE,4,,
gyttja,8640,109063,457,Radiocarbon years BP,85,Carbon-14,-26.6,WIS-999,85,,FALSE,4,,
gyttja,10080,109064,516,Radiocarbon years BP,100,Carbon-14,-29.7,WIS-1000,100,,FALSE,4,,
silty gyttja,10620,109065,544,Radiocarbon years BP,105,Carbon-14,-29.2,WIS-1001,105,,FALSE,6,,
gyttja (2nd core),12260,109066,601,Radiocarbon years BP,115,Carbon-14,,WIS-1073,115,,FALSE,4,,
silty gyttja,12880,109067,601,Radiocarbon years BP,125,Carbon-14,-31.3,WIS-1004,125,,FALSE,4,,
sediment and clay (2nd core),12520,109068,607,Radiocarbon years BP,160,Carbon-14,-31,WIS-1075,160,,FALSE,8,,
needles,8590,165134,474,Radiocarbon years BP,50,Carbon-14,,CAMS-78446,50,,FALSE,2,,
needles,9740,165135,535,Radiocarbon years BP,50,Carbon-14,,CAMS-78445,50,,FALSE,1,,
needles,10110,165136,550,Radiocarbon years BP,140,Carbon-14,,CAMS-78444,140,,FALSE,2,,
needles,10730,165137,583.75,Radiocarbon years BP,50,Carbon-14,,CAMS-78443,50,,FALSE,2.5,,
needles,12580,165138,633,Radiocarbon years BP,130,Carbon-14,,CAMS-78442,130,,FALSE,12,,
